lambda nm	intens mV
400	4.3
420	5.2
440	8.7
460	16.6
480	24.8
500	42.3
520	69.8
540	108.0
560	155.7
580	212.0
600	281.8
620	360.0
640	428.0
660	477.6
680	495.9
700	500.5
720	500.7
740	500.7
760	500.8
780	500.8
800	500.8
820	500.8
840	500.8
860	500.8
880	500.9
900	500.9
920	500.9
940	500.9
960	500.9
980	500.9
1000	500.8
1020	499.7
1040	421.3
1060	261.3
1080	179.4
1100	120.2
1120	80.3
1140	59.4
1160	46.2
1180	33.0
1200	30.6
