filtermseeung 905nm

lambda nm	intens mV
885	35.0
886	43.0
887	53.7
888	67.2
889	89.5
890	119.7
891	145.6
892	174.4
893	231.6
894	276.5
895	344.3
896	385.1
897	419.3
898	434.1
899	447.4
900	440.8
901	439.0
902	426.0
903	353.8
904	340.2
905	287.0
906	234.1
907	199.3
908	157.3
909	126.6
910	90.8
911	75.4
912	56.5
913	47.2
914	34.9
915	28.5
