sicht: lampe, schlauch vorne

lambda nm	intens mV
400	1.9
420	1.9
440	1.9
460	1.8
480	1.9
500	1.8
520	1.8
540	1.9
560	1.9
580	1.9
600	1.9
620	1.9
640	1.9
660	1.9
680	1.9
700	1.9
720	1.9
740	1.9
760	1.9
780	1.9
800	1.9
820	1.9
840	1.9
860	2.0
880	2.0
900	2.3
920	2.4
940	4.5
960	14.4
980	46.9
990	84.2
1000	120.5
1010	184.1
1015	180.1
1020	197.3
1025	211.2
1030	211.1
1035	215.0
1040	209.6
1050	178.6
1060	141.6
1080	96.5
1100	59.3
1120	34.2
1140	19.5
1160	9.9
1180	3.8
1200	2.1
