lambda nm	intens mV
400	4.3
420	5.2
440	6.9
460	16.0
480	25.1
500	41.9
520	73.8
540	109.4
560	155.7
580	215.1
600	284.0
620	360.0
640	428.0
660	430.4
680	488.7
700	495.9
720	500.4
740	500.5
760	500.8
780	500.8
800	500.8
820	500.8
840	500.8
860	500.8
880	500.8
900	500.8
920	500.8
940	500.8
960	500.8
980	500.8
1000	500.8
1020	499.7
1040	416.6
1060	269.4
1080	176.4
1100	120.6
1120	81.0
1140	60.0
1160	45.6
1180	33.5
1200	30.9
