Filtermessung 768nm

lambda nm	intens mV
750	22.9
751	26.0
752	30.3
753	40.3
754	56.5
755	75.5
756	104.9
757	136.6
758	187.5
759	244.4
760	304.0
761	337.3
762	414.0
763	430.0
764	440.0
765	441.0
766	429.0
767	431.0
768	387.0
769	349.6
770	296.1
771	253.2
772	169.2
773	130.0
774	87.1
775	65.7
776	49.5
777	36.6
778	29.0
779	21.4
780	17.2
