Sicht: Lampe, schlauch vorne

lambda nm	intens mV
400	2.3
420	2.3
440	2.3
460	2.4
480	2.5
500	2.4
520	2.4
540	2.4
560	2.4
580	2.4
600	2.4
620	2.4
640	2.4
660	2.4
680	2.4
700	2.4
720	2.4
740	2.5
760	2.5
780	2.5
800	2.6
820	2.7
840	2.9
860	3.1
880	4.1
885	17.1
887	35.1
889	81.0
891	56.7
893	262.6
895	350.3
897	420.6
899	480.0
900	485.0
905	500.0
920	500.0
940	500.6
960	500.4
980	500.0
1000	488.1
1020	402.7
1040	281.6
1060	171.2
1080	108.1
1100	66.1
1120	38.0
1140	22.6
1160	13.4
1180	6.3
1200	5.0
