288.66	3.96E-008	32.2
290.21	3.96E-008	32.2
291.76	3.96E-008	32.2
293.30	3.95E-008	32.2
294.85	3.96E-008	32.2
296.40	3.96E-008	32.2
297.95	3.96E-008	32.2
299.50	3.96E-008	32.2
301.04	3.95E-008	32.2
302.61	3.96E-008	32.2
304.16	3.96E-008	32.2
305.71	3.96E-008	32.2
307.25	3.96E-008	32.2
308.80	3.96E-008	32.2
310.35	3.95E-008	32.2
311.90	3.96E-008	32.2
313.45	3.96E-008	32.2
315.00	3.96E-008	32.2
316.54	3.96E-008	32.2
318.09	3.96E-008	32.2
319.64	3.96E-008	32.2
321.19	3.96E-008	32.2
322.74	3.95E-008	32.2
324.29	3.96E-008	32.2
325.83	3.95E-008	32.2
327.38	3.95E-008	32.2
328.93	3.95E-008	32.2
330.48	3.96E-008	32.2
332.02	3.95E-008	32.2
333.57	3.95E-008	32.2
335.12	3.95E-008	32.2
336.67	3.95E-008	32.2
338.22	3.95E-008	32.2
339.76	3.96E-008	32.2
341.31	3.96E-008	32.2
342.86	3.95E-008	32.2
344.41	3.96E-008	32.2
345.96	3.95E-008	32.2
347.50	3.95E-008	32.2
349.05	3.95E-008	32.2
350.60	3.95E-008	32.2
352.16	3.96E-008	32.2
353.71	3.95E-008	32.2
355.26	3.95E-008	32.2
356.81	3.95E-008	32.2
358.35	3.95E-008	32.2
359.90	3.96E-008	32.2
361.45	3.95E-008	32.2
363.00	3.96E-008	32.2
364.55	3.95E-008	32.2
366.09	3.95E-008	32.2
367.64	3.95E-008	32.1
369.21	3.96E-008	32.2
370.75	3.96E-008	32.1
372.30	3.95E-008	32.1
373.85	3.95E-008	32.1
375.40	3.95E-008	32.2
376.94	3.96E-008	32.1
378.49	3.95E-008	32.1
380.04	3.95E-008	32.2
381.59	3.96E-008	32.1
383.13	3.95E-008	32.1
384.68	3.95E-008	32.1
386.23	3.95E-008	32.1
387.78	3.96E-008	32.1
389.33	3.95E-008	32.1
390.87	3.96E-008	32.1
392.42	3.95E-008	32.1
393.97	3.95E-008	32.1
395.52	3.95E-008	32.1
397.06	3.95E-008	32.1
398.61	3.95E-008	32.1
400.16	3.95E-008	32.1
401.72	3.95E-008	32.1
403.27	3.95E-008	32.1
404.82	3.95E-008	32.1
406.37	3.95E-008	32.1
407.92	3.95E-008	32.1
409.46	3.95E-008	32.1
411.01	3.95E-008	32.1
412.56	3.95E-008	32.1
414.10	3.95E-008	32.1
415.65	3.95E-008	32.1
417.20	3.95E-008	32.1
418.74	3.96E-008	32.1
420.29	3.95E-008	32.1
421.84	3.95E-008	32.1
423.39	3.95E-008	32.1
424.93	3.95E-008	32.1
426.48	3.95E-008	32.1
428.03	3.95E-008	32.1
429.58	3.95E-008	32.1
431.13	3.95E-008	32.1
432.67	3.95E-008	32.1
434.22	3.95E-008	32.1
435.77	3.95E-008	32.1
437.32	3.95E-008	32.1
438.87	3.95E-008	32.1
440.41	3.95E-008	32.1
441.96	3.95E-008	32.1
443.51	3.95E-008	32.1
445.06	3.95E-008	32.1
446.63	3.95E-008	32.1
448.17	3.95E-008	32.1
449.72	3.95E-008	32.1
451.27	3.95E-008	32.1

