ALV-5000/E-WIN Data
Date :	"15.03.18"
Time :	"11:49:15"
Samplename : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89454
Refractive Index:	       1.33000
Wavelength [nm] :	     532.00000
Angle [°]       :	      60.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	     112.55013
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  5.79169E-001
  4.00000E-004	  5.84291E-001
  6.00000E-004	  5.68481E-001
  8.00000E-004	  5.68078E-001
  1.00000E-003	  5.59931E-001
  1.20000E-003	  5.68898E-001
  1.40000E-003	  5.66559E-001
  1.60000E-003	  5.55333E-001
  1.80000E-003	  5.63897E-001
  2.00000E-003	  5.69973E-001
  2.20000E-003	  5.63252E-001
  2.40000E-003	  5.67137E-001
  2.60000E-003	  5.64354E-001
  2.80000E-003	  5.61289E-001
  3.00000E-003	  5.70847E-001
  3.20000E-003	  5.65335E-001
  3.60000E-003	  5.62989E-001
  4.00000E-003	  5.65920E-001
  4.40000E-003	  5.65967E-001
  4.80000E-003	  5.60664E-001
  5.20000E-003	  5.63077E-001
  5.60000E-003	  5.65860E-001
  6.00000E-003	  5.63292E-001
  6.40000E-003	  5.61472E-001
  7.20000E-003	  5.63681E-001
  8.00000E-003	  5.61759E-001
  8.80000E-003	  5.65127E-001
  9.60000E-003	  5.63658E-001
  1.04000E-002	  5.59457E-001
  1.12000E-002	  5.62078E-001
  1.20000E-002	  5.61779E-001
  1.28000E-002	  5.61826E-001
  1.44000E-002	  5.63561E-001
  1.60000E-002	  5.59292E-001
  1.76000E-002	  5.58588E-001
  1.92000E-002	  5.60280E-001
  2.08000E-002	  5.61030E-001
  2.24000E-002	  5.59871E-001
  2.40000E-002	  5.59418E-001
  2.56000E-002	  5.57691E-001
  2.88000E-002	  5.55161E-001
  3.20000E-002	  5.52099E-001
  3.52000E-002	  5.53190E-001
  3.84000E-002	  5.49652E-001
  4.16000E-002	  5.49371E-001
  4.48000E-002	  5.48343E-001
  4.80000E-002	  5.47830E-001
  5.12000E-002	  5.44855E-001
  5.76000E-002	  5.43577E-001
  6.40000E-002	  5.39765E-001
  7.04000E-002	  5.37687E-001
  7.68000E-002	  5.35716E-001
  8.32000E-002	  5.33758E-001
  8.96000E-002	  5.29313E-001
  9.60000E-002	  5.27535E-001
  1.02400E-001	  5.24803E-001
  1.15200E-001	  5.20306E-001
  1.28000E-001	  5.14085E-001
  1.40800E-001	  5.08700E-001
  1.53600E-001	  5.05430E-001
  1.66400E-001	  4.99257E-001
  1.79200E-001	  4.96050E-001
  1.92000E-001	  4.89797E-001
  2.04800E-001	  4.86196E-001
  2.30400E-001	  4.76551E-001
  2.56000E-001	  4.68113E-001
  2.81600E-001	  4.59384E-001
  3.07200E-001	  4.51059E-001
  3.32800E-001	  4.43672E-001
  3.58400E-001	  4.34511E-001
  3.84000E-001	  4.27749E-001
  4.09600E-001	  4.20104E-001
  4.60800E-001	  4.04892E-001
  5.12000E-001	  3.91523E-001
  5.63200E-001	  3.77966E-001
  6.14400E-001	  3.64961E-001
  6.65600E-001	  3.52630E-001
  7.16800E-001	  3.40596E-001
  7.68000E-001	  3.28624E-001
  8.19200E-001	  3.18458E-001
  9.21600E-001	  2.98123E-001
  1.02400E+000	  2.78953E-001
  1.12640E+000	  2.60944E-001
  1.22880E+000	  2.44798E-001
  1.33120E+000	  2.29660E-001
  1.43360E+000	  2.15599E-001
  1.53600E+000	  2.02869E-001
  1.63840E+000	  1.91682E-001
  1.84320E+000	  1.69665E-001
  2.04800E+000	  1.50977E-001
  2.25280E+000	  1.34133E-001
  2.45760E+000	  1.18953E-001
  2.66240E+000	  1.06026E-001
  2.86720E+000	  9.52112E-002
  3.07200E+000	  8.49230E-002
  3.22560E+000	  7.76056E-002
  3.63520E+000	  6.20833E-002
  4.04480E+000	  4.91551E-002
  4.45440E+000	  3.75635E-002
  4.86400E+000	  2.78232E-002
  5.27360E+000	  2.07179E-002
  5.68320E+000	  1.52393E-002
  6.09280E+000	  1.07517E-002
  6.50240E+000	  7.77342E-003
  7.32160E+000	  4.76783E-003
  8.14080E+000	  2.58360E-003
  8.96000E+000	  1.10795E-003
  9.77920E+000	 -1.44210E-003
  1.05984E+001	 -2.85850E-003
  1.14176E+001	 -1.34433E-003
  1.22368E+001	  1.91767E-003
  1.30560E+001	  3.12922E-003
  1.46944E+001	  3.63457E-003
  1.63328E+001	  2.42213E-003
  1.79712E+001	  3.41230E-005
  1.96096E+001	  1.33739E-003
  2.12480E+001	  2.81614E-003
  2.28864E+001	 -7.00502E-004
  2.45248E+001	 -1.65279E-003
  2.61632E+001	 -2.46009E-003
  2.94400E+001	  1.25798E-004
  3.27168E+001	 -1.74889E-003
  3.59936E+001	  3.43445E-004
  3.92704E+001	  4.64474E-003
  4.25472E+001	 -6.53482E-004
  4.58240E+001	  3.58476E-003
  4.91008E+001	  5.91913E-003
  5.23776E+001	  4.68043E-003
  5.89312E+001	 -5.48827E-004
  6.54848E+001	 -3.53021E-004
  7.20384E+001	  3.32505E-003
  7.85920E+001	 -3.40782E-003
  8.51456E+001	 -2.70145E-003
  9.16992E+001	 -5.26047E-004
  9.82528E+001	 -1.23538E-003
  1.04806E+002	 -1.54708E-003
  1.17914E+002	  2.55489E-003
  1.31021E+002	  2.02035E-003
  1.44128E+002	 -1.62328E-003
  1.57235E+002	 -1.10691E-003
  1.70342E+002	  3.42288E-003
  1.83450E+002	  2.29595E-003
  1.96557E+002	  2.38697E-003
  2.09664E+002	  3.88608E-003
  2.35878E+002	  1.17601E-003
  2.62093E+002	  1.20937E-003
  2.88307E+002	  3.92862E-003
  3.14522E+002	 -1.04959E-003
  3.40736E+002	  1.03165E-003
  3.66950E+002	 -1.93265E-003
