Time	Correlation

  2.00000E-004	  5.83304E-001
  4.00000E-004	  5.54277E-001
  6.00000E-004	  5.30904E-001
  8.00000E-004	  5.24872E-001
  1.00000E-003	  4.97730E-001
  1.20000E-003	  4.72473E-001
  1.40000E-003	  4.90945E-001
  1.60000E-003	  5.06024E-001
  1.80000E-003	  4.81520E-001
  2.00000E-003	  4.66818E-001
  2.20000E-003	  4.41561E-001
  2.40000E-003	  4.74358E-001
  2.60000E-003	  5.23365E-001
  2.80000E-003	  4.71719E-001
  3.00000E-003	  4.80766E-001
  3.20000E-003	  4.80766E-001
  3.60000E-003	  4.80578E-001
  4.00000E-003	  4.90568E-001
  4.40000E-003	  4.99992E-001
  4.80000E-003	  4.70776E-001
  5.20000E-003	  4.82463E-001
  5.60000E-003	  4.88871E-001
  6.00000E-003	  4.82274E-001
  6.40000E-003	  4.81049E-001
  7.20000E-003	  4.85667E-001
  8.00000E-003	  4.73981E-001
  8.80000E-003	  4.86327E-001
  9.60000E-003	  4.67101E-001
  1.04000E-002	  4.81897E-001
  1.12000E-002	  4.86704E-001
  1.20000E-002	  4.74358E-001
  1.28000E-002	  4.78028E-001
  1.44000E-002	  4.80432E-001
  1.60000E-002	  4.81233E-001
  1.76000E-002	  4.67944E-001
  1.92000E-002	  4.72044E-001
  2.08000E-002	  4.50415E-001
  2.24000E-002	  4.63892E-001
  2.40000E-002	  4.38540E-001
  2.56000E-002	  4.52027E-001
  2.88000E-002	  4.40247E-001
  3.20000E-002	  4.37396E-001
  3.52000E-002	  4.38951E-001
  3.84000E-002	  4.26653E-001
  4.16000E-002	  4.21587E-001
  4.48000E-002	  4.13435E-001
  4.80000E-002	  4.11621E-001
  5.12000E-002	  4.02239E-001
  5.76000E-002	  3.95864E-001
  6.40000E-002	  3.87394E-001
  7.04000E-002	  3.72713E-001
  7.68000E-002	  3.70343E-001
  8.32000E-002	  3.56296E-001
  8.96000E-002	  3.48321E-001
  9.60000E-002	  3.37235E-001
  1.02400E-001	  3.26600E-001
  1.15200E-001	  3.13813E-001
  1.28000E-001	  2.93492E-001
  1.40800E-001	  2.78515E-001
  1.53600E-001	  2.70181E-001
  1.66400E-001	  2.52282E-001
  1.79200E-001	  2.39228E-001
  1.92000E-001	  2.26780E-001
  2.04800E-001	  2.13026E-001
  2.30400E-001	  1.94118E-001
  2.56000E-001	  1.74928E-001
  2.81600E-001	  1.54842E-001
  3.07200E-001	  1.42328E-001
  3.32800E-001	  1.27700E-001
  3.58400E-001	  1.18287E-001
  3.84000E-001	  1.09740E-001
  4.09600E-001	  9.71682E-002
  4.60800E-001	  7.79461E-002
  5.12000E-001	  6.61255E-002
  5.63200E-001	  5.52466E-002
  6.14400E-001	  4.30459E-002
  6.65600E-001	  3.42511E-002
  7.16800E-001	  2.64367E-002
  7.68000E-001	  2.22280E-002
  8.19200E-001	  1.88338E-002
  9.21600E-001	  1.06863E-002
  1.02400E+000	  6.65425E-003
  1.12640E+000	  2.59298E-003
  1.22880E+000	  5.53090E-004
  1.33120E+000	 -1.21450E-003
  1.43360E+000	  1.20962E-004
  1.53600E+000	 -2.71067E-004
  1.63840E+000	  1.24988E-003
  1.84320E+000	  3.76366E-003
  2.04800E+000	  3.19993E-004
  2.25280E+000	 -2.14919E-003
  2.45760E+000	 -1.89777E-004
  2.66240E+000	  3.32458E-003
