Time	Correlation

  2.00000E-004	  4.35878E-001
  4.00000E-004	  4.35388E-001
  6.00000E-004	  4.50198E-001
  8.00000E-004	  4.38633E-001
  1.00000E-003	  4.16015E-001
  1.20000E-003	  4.24095E-001
  1.40000E-003	  4.41094E-001
  1.60000E-003	  4.35181E-001
  1.80000E-003	  4.13945E-001
  2.00000E-003	  4.20153E-001
  2.20000E-003	  4.34005E-001
  2.40000E-003	  4.19369E-001
  2.60000E-003	  4.21264E-001
  2.80000E-003	  4.26425E-001
  3.00000E-003	  4.28494E-001
  3.20000E-003	  4.17162E-001
  3.60000E-003	  4.29533E-001
  4.00000E-003	  4.12779E-001
  4.40000E-003	  4.24339E-001
  4.80000E-003	  4.15268E-001
  5.20000E-003	  4.18165E-001
  5.60000E-003	  4.18709E-001
  6.00000E-003	  4.13003E-001
  6.40000E-003	  4.12303E-001
  7.20000E-003	  4.08127E-001
  8.00000E-003	  4.07264E-001
  8.80000E-003	  4.06823E-001
  9.60000E-003	  3.99336E-001
  1.04000E-002	  4.01805E-001
  1.12000E-002	  3.99045E-001
  1.20000E-002	  3.97542E-001
  1.28000E-002	  3.93881E-001
  1.44000E-002	  3.89593E-001
  1.60000E-002	  3.84722E-001
  1.76000E-002	  3.79746E-001
  1.92000E-002	  3.77730E-001
  2.08000E-002	  3.70250E-001
  2.24000E-002	  3.67726E-001
  2.40000E-002	  3.63393E-001
  2.56000E-002	  3.58779E-001
  2.88000E-002	  3.50318E-001
  3.20000E-002	  3.41642E-001
  3.52000E-002	  3.32742E-001
  3.84000E-002	  3.26816E-001
  4.16000E-002	  3.20231E-001
  4.48000E-002	  3.12762E-001
  4.80000E-002	  3.04592E-001
  5.12000E-002	  2.97823E-001
  5.76000E-002	  2.86028E-001
  6.40000E-002	  2.73650E-001
  7.04000E-002	  2.59276E-001
  7.68000E-002	  2.48408E-001
  8.32000E-002	  2.36703E-001
  8.96000E-002	  2.25562E-001
  9.60000E-002	  2.16410E-001
  1.02400E-001	  2.06440E-001
  1.15200E-001	  1.88884E-001
  1.28000E-001	  1.71816E-001
  1.40800E-001	  1.56635E-001
  1.53600E-001	  1.43430E-001
  1.66400E-001	  1.30537E-001
  1.79200E-001	  1.19240E-001
  1.92000E-001	  1.09392E-001
  2.04800E-001	  9.97697E-002
  2.30400E-001	  8.34194E-002
  2.56000E-001	  6.90875E-002
  2.81600E-001	  5.75693E-002
  3.07200E-001	  4.81901E-002
  3.32800E-001	  4.07555E-002
  3.58400E-001	  3.33624E-002
  3.84000E-001	  2.78088E-002
  4.09600E-001	  2.26933E-002
  4.60800E-001	  1.58797E-002
  5.12000E-001	  1.05874E-002
  5.63200E-001	  7.09135E-003
  6.14400E-001	  5.99544E-003
  6.65600E-001	  5.32826E-003
  7.16800E-001	  4.40059E-003
  7.68000E-001	  4.45080E-003
  8.19200E-001	  4.08690E-003
  9.21600E-001	  2.91439E-003
  1.02400E+000	  2.41026E-003
  1.12640E+000	  9.20357E-004
  1.22880E+000	  1.78595E-004
