Time	Correlation

 2.00000E-004	  4.98767E-001
  4.00000E-004	  4.82721E-001
  6.00000E-004	  5.08472E-001
  8.00000E-004	  4.68163E-001
  1.00000E-003	  4.48299E-001
  1.20000E-003	  4.74568E-001
  1.40000E-003	  4.73080E-001
  1.60000E-003	  4.58004E-001
  1.80000E-003	  4.53605E-001
  2.00000E-003	  4.77609E-001
  2.20000E-003	  4.59622E-001
  2.40000E-003	  4.46358E-001
  2.60000E-003	  4.53734E-001
  2.80000E-003	  4.68939E-001
  3.00000E-003	  4.45129E-001
  3.20000E-003	  4.50541E-001
  3.60000E-003	  4.49667E-001
  4.00000E-003	  4.46141E-001
  4.40000E-003	  4.42453E-001
  4.80000E-003	  4.68075E-001
  5.20000E-003	  4.38959E-001
  5.60000E-003	  4.47985E-001
  6.00000E-003	  4.35433E-001
  6.40000E-003	  4.40412E-001
  7.20000E-003	  4.36676E-001
  8.00000E-003	  4.37290E-001
  8.80000E-003	  4.42532E-001
  9.60000E-003	  4.34574E-001
  1.04000E-002	  4.27100E-001
  1.12000E-002	  4.28168E-001
  1.20000E-002	  4.27958E-001
  1.28000E-002	  4.23444E-001
  1.44000E-002	  4.11813E-001
  1.60000E-002	  4.04421E-001
  1.76000E-002	  3.99449E-001
  1.92000E-002	  3.97887E-001
  2.08000E-002	  3.93334E-001
  2.24000E-002	  3.92541E-001
  2.40000E-002	  3.82617E-001
  2.56000E-002	  3.76373E-001
  2.88000E-002	  3.68152E-001
  3.20000E-002	  3.53772E-001
  3.52000E-002	  3.46416E-001
  3.84000E-002	  3.42003E-001
  4.16000E-002	  3.28890E-001
  4.48000E-002	  3.19520E-001
  4.80000E-002	  3.12778E-001
  5.12000E-002	  3.03373E-001
  5.76000E-002	  2.90730E-001
  6.40000E-002	  2.75142E-001
  7.04000E-002	  2.57534E-001
  7.68000E-002	  2.48404E-001
  8.32000E-002	  2.34060E-001
  8.96000E-002	  2.23745E-001
  9.60000E-002	  2.10448E-001
  1.02400E-001	  1.98421E-001
  1.15200E-001	  1.78699E-001
  1.28000E-001	  1.60112E-001
  1.40800E-001	  1.44847E-001
  1.53600E-001	  1.32761E-001
  1.66400E-001	  1.17075E-001
  1.79200E-001	  1.07012E-001
  1.92000E-001	  9.83615E-002
  2.04800E-001	  8.86674E-002
  2.30400E-001	  7.40510E-002
  2.56000E-001	  5.83854E-002
  2.81600E-001	  4.78614E-002
  3.07200E-001	  3.96084E-002
  3.32800E-001	  3.18530E-002
  3.58400E-001	  2.72283E-002
  3.84000E-001	  2.24600E-002
  4.09600E-001	  1.95618E-002
  4.60800E-001	  1.32735E-002
  5.12000E-001	  9.34891E-003
  5.63200E-001	  6.09175E-003
  6.14400E-001	  4.52751E-003
  6.65600E-001	  3.85198E-003
  7.16800E-001	  9.91999E-004
  7.68000E-001	  1.14256E-003
  8.19200E-001	  1.23312E-003
  9.21600E-001	  1.61226E-003
  1.02400E+000	  1.45798E-003
