Time	Correlation

 2.00000E-004	  5.71845E-001
  4.00000E-004	  5.59576E-001
  6.00000E-004	  5.52350E-001
  8.00000E-004	  5.57742E-001
  1.00000E-003	  5.82946E-001
  1.20000E-003	  5.78815E-001
  1.40000E-003	  5.53097E-001
  1.60000E-003	  5.39075E-001
  1.80000E-003	  5.52336E-001
  2.00000E-003	  5.72388E-001
  2.20000E-003	  5.81372E-001
  2.40000E-003	  5.61991E-001
  2.60000E-003	  5.47090E-001
  2.80000E-003	  5.43527E-001
  3.00000E-003	  5.66561E-001
  3.20000E-003	  5.76479E-001
  3.60000E-003	  5.53837E-001
  4.00000E-003	  5.55194E-001
  4.40000E-003	  5.75837E-001
  4.80000E-003	  5.50676E-001
  5.20000E-003	  5.65695E-001
  5.60000E-003	  5.68471E-001
  6.00000E-003	  5.51448E-001
  6.40000E-003	  5.62380E-001
  7.20000E-003	  5.60754E-001
  8.00000E-003	  5.58306E-001
  8.80000E-003	  5.61349E-001
  9.60000E-003	  5.60914E-001
  1.04000E-002	  5.56267E-001
  1.12000E-002	  5.57389E-001
  1.20000E-002	  5.60050E-001
  1.28000E-002	  5.58801E-001
  1.44000E-002	  5.57960E-001
  1.60000E-002	  5.58210E-001
  1.76000E-002	  5.55006E-001
  1.92000E-002	  5.55654E-001
  2.08000E-002	  5.56753E-001
  2.24000E-002	  5.56474E-001
  2.40000E-002	  5.54633E-001
  2.56000E-002	  5.53384E-001
  2.88000E-002	  5.54734E-001
  3.20000E-002	  5.51726E-001
  3.52000E-002	  5.51454E-001
  3.84000E-002	  5.50323E-001
  4.16000E-002	  5.50139E-001
  4.48000E-002	  5.48690E-001
  4.80000E-002	  5.46910E-001
  5.12000E-002	  5.46448E-001
  5.76000E-002	  5.43687E-001
  6.40000E-002	  5.40934E-001
  7.04000E-002	  5.39521E-001
  7.68000E-002	  5.37646E-001
  8.32000E-002	  5.35561E-001
  8.96000E-002	  5.32726E-001
  9.60000E-002	  5.31795E-001
  1.02400E-001	  5.30318E-001
  1.15200E-001	  5.26369E-001
  1.28000E-001	  5.22611E-001
  1.40800E-001	  5.19142E-001
  1.53600E-001	  5.14310E-001
  1.66400E-001	  5.11038E-001
  1.79200E-001	  5.07764E-001
  1.92000E-001	  5.03272E-001
  2.04800E-001	  5.00495E-001
  2.30400E-001	  4.93171E-001
  2.56000E-001	  4.86749E-001
  2.81600E-001	  4.80381E-001
  3.07200E-001	  4.73526E-001
  3.32800E-001	  4.66751E-001
  3.58400E-001	  4.60430E-001
  3.84000E-001	  4.54378E-001
  4.09600E-001	  4.48065E-001
  4.60800E-001	  4.35400E-001
  5.12000E-001	  4.23949E-001
  5.63200E-001	  4.12395E-001
  6.14400E-001	  4.01329E-001
  6.65600E-001	  3.91001E-001
  7.16800E-001	  3.80273E-001
  7.68000E-001	  3.70070E-001
  8.19200E-001	  3.60435E-001
  9.21600E-001	  3.41725E-001
  1.02400E+000	  3.23941E-001
  1.12640E+000	  3.07483E-001
  1.22880E+000	  2.91797E-001
  1.33120E+000	  2.77118E-001
  1.43360E+000	  2.62890E-001
  1.53600E+000	  2.49375E-001
  1.63840E+000	  2.36709E-001
  1.84320E+000	  2.13394E-001
  2.04800E+000	  1.92173E-001
  2.25280E+000	  1.73130E-001
  2.45760E+000	  1.55997E-001
  2.66240E+000	  1.40577E-001
  2.86720E+000	  1.26897E-001
  3.07200E+000	  1.14348E-001
  3.22560E+000	  1.05764E-001
  3.63520E+000	  8.50691E-002
  4.04480E+000	  6.89022E-002
  4.45440E+000	  5.52937E-002
  4.86400E+000	  4.43844E-002
  5.27360E+000	  3.55521E-002
  5.68320E+000	  2.91533E-002
  6.09280E+000	  2.46619E-002
  6.50240E+000	  2.19097E-002
  7.32160E+000	  1.72071E-002
  8.14080E+000	  1.32407E-002
  8.96000E+000	  1.16177E-002
  9.77920E+000	  9.62417E-003
  1.05984E+001	  6.78492E-003
  1.14176E+001	  5.64884E-003
  1.22368E+001	  4.28869E-003
  1.30560E+001	  2.62326E-003
  1.46944E+001	 -2.47265E-003
  1.63328E+001	 -4.50792E-003
  1.79712E+001	 -6.40377E-003
  1.96096E+001	 -6.00353E-003
  2.12480E+001	 -9.81925E-004
  2.28864E+001	 -2.38241E-003
  2.45248E+001	 -1.99132E-003
