Time	Correlation

 2.00000E-004	  5.54264E-001
  4.00000E-004	  5.52778E-001
  6.00000E-004	  5.26019E-001
  8.00000E-004	  5.26019E-001
  1.00000E-003	  4.78447E-001
  1.20000E-003	  4.92198E-001
  1.40000E-003	  5.08551E-001
  1.60000E-003	  4.83650E-001
  1.80000E-003	  5.10781E-001
  2.00000E-003	  5.07436E-001
  2.20000E-003	  4.88481E-001
  2.40000E-003	  4.47971E-001
  2.60000E-003	  4.93313E-001
  2.80000E-003	  5.14497E-001
  3.00000E-003	  4.88481E-001
  3.20000E-003	  4.95347E-001
  3.60000E-003	  4.72862E-001
  4.00000E-003	  4.92003E-001
  4.40000E-003	  4.63571E-001
  4.80000E-003	  4.69518E-001
  5.20000E-003	  4.87357E-001
  5.60000E-003	  4.63385E-001
  6.00000E-003	  4.90702E-001
  6.40000E-003	  4.83264E-001
  7.20000E-003	  4.62544E-001
  8.00000E-003	  4.44705E-001
  8.80000E-003	  4.53625E-001
  9.60000E-003	  4.56041E-001
  1.04000E-002	  4.95157E-001
  1.12000E-002	  4.59571E-001
  1.20000E-002	  4.53348E-001
  1.28000E-002	  4.47618E-001
  1.44000E-002	  4.49709E-001
  1.60000E-002	  4.36422E-001
  1.76000E-002	  4.27688E-001
  1.92000E-002	  4.32938E-001
  2.08000E-002	  4.31405E-001
  2.24000E-002	  4.28199E-001
  2.40000E-002	  4.16773E-001
  2.56000E-002	  4.13145E-001
  2.88000E-002	  3.98673E-001
  3.20000E-002	  3.97373E-001
  3.52000E-002	  3.90497E-001
  3.84000E-002	  3.77628E-001
  4.16000E-002	  3.70358E-001
  4.48000E-002	  3.63552E-001
  4.80000E-002	  3.52960E-001
  5.12000E-002	  3.39228E-001
  5.76000E-002	  3.26698E-001
  6.40000E-002	  3.13702E-001
  7.04000E-002	  3.03551E-001
  7.68000E-002	  2.87047E-001
  8.32000E-002	  2.69195E-001
  8.96000E-002	  2.65223E-001
  9.60000E-002	  2.57895E-001
  1.02400E-001	  2.41086E-001
  1.15200E-001	  2.30087E-001
  1.28000E-001	  2.05980E-001
  1.40800E-001	  1.93250E-001
  1.53600E-001	  1.73618E-001
  1.66400E-001	  1.57615E-001
  1.79200E-001	  1.50679E-001
  1.92000E-001	  1.35421E-001
  2.04800E-001	  1.23560E-001
  2.30400E-001	  1.02388E-001
  2.56000E-001	  8.89121E-002
  2.81600E-001	  7.11119E-002
  3.07200E-001	  6.26852E-002
  3.32800E-001	  5.62122E-002
  3.58400E-001	  4.40848E-002
  3.84000E-001	  3.96018E-002
  4.09600E-001	  3.39477E-002
  4.60800E-001	  2.29860E-002
  5.12000E-001	  1.33137E-002
  5.63200E-001	  9.07624E-003
  6.14400E-001	  3.91748E-003
  6.65600E-001	  4.00591E-003
  7.16800E-001	  2.26806E-003
  7.68000E-001	  1.97170E-003
  8.19200E-001	  3.63724E-004
  9.21600E-001	 -7.80467E-005
  1.02400E+000	 -5.11506E-005
  1.12640E+000	 -4.36840E-004
