Time	Correlation
  4.19425E+003	  1.47533E-001
  4.61368E+003	  1.44338E-001
  5.03311E+003	  1.41032E-001
  5.45254E+003	  1.37171E-001
  5.87197E+003	  1.33792E-001
  6.29140E+003	  1.30531E-001
  6.71083E+003	  1.27436E-001
  7.54970E+003	  1.19770E-001
  8.38856E+003	  1.12786E-001
  9.22742E+003	  1.06251E-001
  1.00663E+004	  1.00278E-001
  1.09051E+004	  9.41157E-002
  1.17440E+004	  8.78744E-002
  1.25829E+004	  8.14350E-002
  1.34217E+004	  7.57407E-002
  1.50994E+004	  6.57930E-002
  1.67772E+004	  5.73424E-002
  1.84549E+004	  5.07708E-002
  2.01326E+004	  4.53308E-002
  2.18103E+004	  4.18887E-002
  2.34881E+004	  3.94016E-002
  2.51658E+004	  3.98812E-002
  2.68435E+004	  4.36145E-002
  3.01989E+004	  4.79047E-002
  3.35544E+004	  5.20621E-002
  3.69098E+004	  4.64599E-002
  4.02653E+004	  3.72588E-002
  4.36207E+004	  2.58689E-002
  4.69762E+004	  1.58464E-002
  5.03316E+004	  5.08382E-003
  5.36870E+004	 -1.32198E-003
  6.03979E+004	 -5.67879E-003
  6.71088E+004	  6.49801E-003
  7.38197E+004	  1.41169E-002
  8.05306E+004	  1.62059E-002
  8.72415E+004	 -2.98876E-004
  9.39524E+004	 -9.91341E-003
  1.00663E+005	 -1.08356E-002
  1.07374E+005	 -2.52571E-002
  1.20796E+005	 -2.81481E-002
  1.34218E+005	 -2.25521E-002
  1.47639E+005	 -2.32775E-002
  1.61061E+005	 -2.56665E-002
  1.74483E+005	 -2.84078E-002
  1.87905E+005	 -3.23297E-002
  2.01327E+005	 -3.69781E-002
