Time	Correlation

 2.00000E-004	  6.02792E-001
  4.00000E-004	  5.87612E-001
  6.00000E-004	  5.81090E-001
  8.00000E-004	  5.93768E-001
  1.00000E-003	  6.16428E-001
  1.20000E-003	  6.17746E-001
  1.40000E-003	  5.91977E-001
  1.60000E-003	  5.79302E-001
  1.80000E-003	  5.85384E-001
  2.00000E-003	  6.05836E-001
  2.20000E-003	  6.19038E-001
  2.40000E-003	  6.02407E-001
  2.60000E-003	  5.82168E-001
  2.80000E-003	  5.80484E-001
  3.00000E-003	  5.92195E-001
  3.20000E-003	  6.08148E-001
  3.60000E-003	  5.92160E-001
  4.00000E-003	  5.87916E-001
  4.40000E-003	  6.12399E-001
  4.80000E-003	  5.85138E-001
  5.20000E-003	  5.95631E-001
  5.60000E-003	  6.05730E-001
  6.00000E-003	  5.83224E-001
  6.40000E-003	  5.96897E-001
  7.20000E-003	  5.94175E-001
  8.00000E-003	  5.96278E-001
  8.80000E-003	  5.98559E-001
  9.60000E-003	  5.95146E-001
  1.04000E-002	  5.94310E-001
  1.12000E-002	  5.94630E-001
  1.20000E-002	  5.97701E-001
  1.28000E-002	  5.95210E-001
  1.44000E-002	  5.95191E-001
  1.60000E-002	  5.93552E-001
  1.76000E-002	  5.94465E-001
  1.92000E-002	  5.93680E-001
  2.08000E-002	  5.94740E-001
  2.24000E-002	  5.92120E-001
  2.40000E-002	  5.94658E-001
  2.56000E-002	  5.93901E-001
  2.88000E-002	  5.93023E-001
  3.20000E-002	  5.91969E-001
  3.52000E-002	  5.91534E-001
  3.84000E-002	  5.90840E-001
  4.16000E-002	  5.90689E-001
  4.48000E-002	  5.90052E-001
  4.80000E-002	  5.89212E-001
  5.12000E-002	  5.89358E-001
  5.76000E-002	  5.87820E-001
  6.40000E-002	  5.87323E-001
  7.04000E-002	  5.86000E-001
  7.68000E-002	  5.85291E-001
  8.32000E-002	  5.84089E-001
  8.96000E-002	  5.83397E-001
  9.60000E-002	  5.82237E-001
  1.02400E-001	  5.81301E-001
  1.15200E-001	  5.79525E-001
  1.28000E-001	  5.77596E-001
  1.40800E-001	  5.75880E-001
  1.53600E-001	  5.73990E-001
  1.66400E-001	  5.72460E-001
  1.79200E-001	  5.70554E-001
  1.92000E-001	  5.68651E-001
  2.04800E-001	  5.66820E-001
  2.30400E-001	  5.63656E-001
  2.56000E-001	  5.59934E-001
  2.81600E-001	  5.56846E-001
  3.07200E-001	  5.53652E-001
  3.32800E-001	  5.50330E-001
  3.58400E-001	  5.47280E-001
  3.84000E-001	  5.44011E-001
  4.09600E-001	  5.40895E-001
  4.60800E-001	  5.34554E-001
  5.12000E-001	  5.28720E-001
  5.63200E-001	  5.22534E-001
  6.14400E-001	  5.16613E-001
  6.65600E-001	  5.10949E-001
  7.16800E-001	  5.05290E-001
  7.68000E-001	  4.99606E-001
  8.19200E-001	  4.94526E-001
  9.21600E-001	  4.83841E-001
  1.02400E+000	  4.73486E-001
  1.12640E+000	  4.63465E-001
  1.22880E+000	  4.53953E-001
  1.33120E+000	  4.44703E-001
  1.43360E+000	  4.35644E-001
  1.53600E+000	  4.26887E-001
  1.63840E+000	  4.18678E-001
  1.84320E+000	  4.02172E-001
  2.04800E+000	  3.86286E-001
  2.25280E+000	  3.71123E-001
  2.45760E+000	  3.57063E-001
  2.66240E+000	  3.43921E-001
  2.86720E+000	  3.30977E-001
  3.07200E+000	  3.18843E-001
  3.22560E+000	  3.09384E-001
  3.63520E+000	  2.87244E-001
  4.04480E+000	  2.67487E-001
  4.45440E+000	  2.49672E-001
  4.86400E+000	  2.33086E-001
  5.27360E+000	  2.17981E-001
  5.68320E+000	  2.04119E-001
  6.09280E+000	  1.91353E-001
  6.50240E+000	  1.80629E-001
  7.32160E+000	  1.61468E-001
  8.14080E+000	  1.44730E-001
  8.96000E+000	  1.30408E-001
  9.77920E+000	  1.17917E-001
  1.05984E+001	  1.07065E-001
  1.14176E+001	  9.81071E-002
  1.22368E+001	  8.99940E-002
  1.30560E+001	  8.26990E-002
  1.46944E+001	  6.63258E-002
  1.63328E+001	  5.14398E-002
  1.79712E+001	  4.04097E-002
  1.96096E+001	  3.14886E-002
  2.12480E+001	  2.24023E-002
  2.28864E+001	  1.47780E-002
  2.45248E+001	  9.74757E-003
  2.61632E+001	  8.38254E-003
  2.94400E+001	  7.98435E-003
  3.27168E+001	  8.47346E-003
  3.59936E+001	  6.85963E-003
  3.92704E+001	  8.20331E-003
  4.25472E+001	  3.48228E-003
  4.58240E+001	 -1.47478E-003
  4.91008E+001	 -6.30003E-003
  5.23776E+001	 -5.44210E-003
  5.89312E+001	 -5.43133E-003
  6.54848E+001	 -2.65381E-004
  7.20384E+001	  2.64370E-004
