Time	Correlation

 2.00000E-004	  6.09489E-001
  4.00000E-004	  5.45641E-001
  6.00000E-004	  5.18595E-001
  8.00000E-004	  5.69141E-001
  1.00000E-003	  5.14604E-001
  1.20000E-003	  4.87779E-001
  1.40000E-003	  4.95982E-001
  1.60000E-003	  5.33448E-001
  1.80000E-003	  5.65372E-001
  2.00000E-003	  5.02854E-001
  2.20000E-003	  5.09949E-001
  2.40000E-003	  5.08175E-001
  2.60000E-003	  5.64042E-001
  2.80000E-003	  5.27906E-001
  3.00000E-003	  5.35222E-001
  3.20000E-003	  5.18502E-001
  3.60000E-003	  5.16173E-001
  4.00000E-003	  5.25484E-001
  4.40000E-003	  5.32689E-001
  4.80000E-003	  4.87131E-001
  5.20000E-003	  5.17060E-001
  5.60000E-003	  5.37234E-001
  6.00000E-003	  5.06640E-001
  6.40000E-003	  5.09309E-001
  7.20000E-003	  5.05873E-001
  8.00000E-003	  5.09642E-001
  8.80000E-003	  5.04543E-001
  9.60000E-003	  5.02548E-001
  1.04000E-002	  5.13688E-001
  1.12000E-002	  5.05929E-001
  1.20000E-002	  5.04543E-001
  1.28000E-002	  5.10239E-001
  1.44000E-002	  4.94387E-001
  1.60000E-002	  4.93778E-001
  1.76000E-002	  4.95496E-001
  1.92000E-002	  4.92780E-001
  2.08000E-002	  4.78203E-001
  2.24000E-002	  4.70555E-001
  2.40000E-002	  4.76208E-001
  2.56000E-002	  4.80869E-001
  2.88000E-002	  4.88088E-001
  3.20000E-002	  4.60584E-001
  3.52000E-002	  4.67387E-001
  3.84000E-002	  4.60029E-001
  4.16000E-002	  4.56884E-001
  4.48000E-002	  4.48737E-001
  4.80000E-002	  4.37459E-001
  5.12000E-002	  4.37797E-001
  5.76000E-002	  4.30328E-001
  6.40000E-002	  4.15821E-001
  7.04000E-002	  4.14915E-001
  7.68000E-002	  4.05424E-001
  8.32000E-002	  3.88882E-001
  8.96000E-002	  3.86678E-001
  9.60000E-002	  3.73730E-001
  1.02400E-001	  3.67612E-001
  1.15200E-001	  3.51746E-001
  1.28000E-001	  3.37551E-001
  1.40800E-001	  3.21868E-001
  1.53600E-001	  3.11190E-001
  1.66400E-001	  2.95900E-001
  1.79200E-001	  2.80044E-001
  1.92000E-001	  2.72115E-001
  2.04800E-001	  2.58407E-001
  2.30400E-001	  2.37308E-001
  2.56000E-001	  2.16197E-001
  2.81600E-001	  2.00092E-001
  3.07200E-001	  1.85204E-001
  3.32800E-001	  1.68511E-001
  3.58400E-001	  1.54060E-001
  3.84000E-001	  1.43778E-001
  4.09600E-001	  1.33185E-001
  4.60800E-001	  1.12550E-001
  5.12000E-001	  9.71002E-002
  5.63200E-001	  8.04688E-002
  6.14400E-001	  6.95511E-002
  6.65600E-001	  5.72431E-002
  7.16800E-001	  4.92521E-002
  7.68000E-001	  4.29827E-002
  8.19200E-001	  3.66649E-002
  9.21600E-001	  2.56525E-002
  1.02400E+000	  1.81023E-002
  1.12640E+000	  1.32839E-002
  1.22880E+000	  8.19108E-003
  1.33120E+000	  6.56408E-003
  1.43360E+000	  4.86178E-003
  1.53600E+000	  1.75263E-003
  1.63840E+000	  1.53822E-003
  1.84320E+000	  1.17603E-003
  2.04800E+000	  4.43013E-003
  2.25280E+000	  2.27290E-003
  2.45760E+000	  1.57862E-003
  2.66240E+000	  3.08095E-004
  2.86720E+000	  1.57224E-003
