Time	Correlation

2.00000E-004	  5.87877E-001
  4.00000E-004	  5.59722E-001
  6.00000E-004	  5.38725E-001
  8.00000E-004	  5.53677E-001
  1.00000E-003	  5.65395E-001
  1.20000E-003	  5.59139E-001
  1.40000E-003	  5.28332E-001
  1.60000E-003	  5.38884E-001
  1.80000E-003	  5.54844E-001
  2.00000E-003	  5.66827E-001
  2.20000E-003	  5.54102E-001
  2.40000E-003	  5.22447E-001
  2.60000E-003	  5.38990E-001
  2.80000E-003	  5.52405E-001
  3.00000E-003	  5.60782E-001
  3.20000E-003	  5.42009E-001
  3.60000E-003	  5.37237E-001
  4.00000E-003	  5.57067E-001
  4.40000E-003	  5.30450E-001
  4.80000E-003	  5.48876E-001
  5.20000E-003	  5.30292E-001
  5.60000E-003	  5.37609E-001
  6.00000E-003	  5.40313E-001
  6.40000E-003	  5.30579E-001
  7.20000E-003	  5.38334E-001
  8.00000E-003	  5.37856E-001
  8.80000E-003	  5.27186E-001
  9.60000E-003	  5.37790E-001
  1.04000E-002	  5.42789E-001
  1.12000E-002	  5.42750E-001
  1.20000E-002	  5.41808E-001
  1.28000E-002	  5.34687E-001
  1.44000E-002	  5.32752E-001
  1.60000E-002	  5.25886E-001
  1.76000E-002	  5.27927E-001
  1.92000E-002	  5.22234E-001
  2.08000E-002	  5.27331E-001
  2.24000E-002	  5.21073E-001
  2.40000E-002	  5.18330E-001
  2.56000E-002	  5.21902E-001
  2.88000E-002	  5.17325E-001
  3.20000E-002	  5.11828E-001
  3.52000E-002	  5.05863E-001
  3.84000E-002	  5.05848E-001
  4.16000E-002	  5.03167E-001
  4.48000E-002	  4.98733E-001
  4.80000E-002	  4.99456E-001
  5.12000E-002	  4.93837E-001
  5.76000E-002	  4.87553E-001
  6.40000E-002	  4.80294E-001
  7.04000E-002	  4.73153E-001
  7.68000E-002	  4.69082E-001
  8.32000E-002	  4.64179E-001
  8.96000E-002	  4.57824E-001
  9.60000E-002	  4.51497E-001
  1.02400E-001	  4.46647E-001
  1.15200E-001	  4.35403E-001
  1.28000E-001	  4.23591E-001
  1.40800E-001	  4.10010E-001
  1.53600E-001	  4.03678E-001
  1.66400E-001	  3.92689E-001
  1.79200E-001	  3.82222E-001
  1.92000E-001	  3.74338E-001
  2.04800E-001	  3.64817E-001
  2.30400E-001	  3.47184E-001
  2.56000E-001	  3.30432E-001
  2.81600E-001	  3.14684E-001
  3.07200E-001	  3.01383E-001
  3.32800E-001	  2.85236E-001
  3.58400E-001	  2.72838E-001
  3.84000E-001	  2.60142E-001
  4.09600E-001	  2.47509E-001
  4.60800E-001	  2.25575E-001
  5.12000E-001	  2.05816E-001
  5.63200E-001	  1.87284E-001
  6.14400E-001	  1.71643E-001
  6.65600E-001	  1.57443E-001
  7.16800E-001	  1.43430E-001
  7.68000E-001	  1.31473E-001
  8.19200E-001	  1.20429E-001
  9.21600E-001	  1.01778E-001
  1.02400E+000	  8.65914E-002
  1.12640E+000	  7.32967E-002
  1.22880E+000	  6.32823E-002
  1.33120E+000	  5.50276E-002
  1.43360E+000	  4.81668E-002
  1.53600E+000	  4.06732E-002
  1.63840E+000	  3.60025E-002
  1.84320E+000	  2.93392E-002
  2.04800E+000	  2.41418E-002
  2.25280E+000	  1.84820E-002
  2.45760E+000	  1.50268E-002
  2.66240E+000	  1.37937E-002
  2.86720E+000	  1.28992E-002
  3.07200E+000	  1.23244E-002
  3.22560E+000	  1.25304E-002
  3.63520E+000	  1.09312E-002
  4.04480E+000	  9.09443E-003
  4.45440E+000	  8.65229E-003
  4.86400E+000	  9.60773E-003
  5.27360E+000	  1.00735E-002
