Time	Correlation

2.00000E-004	  6.22316E-001
  4.00000E-004	  6.67560E-001
  6.00000E-004	  5.85475E-001
  8.00000E-004	  4.71719E-001
  1.00000E-003	  4.71719E-001
  1.20000E-003	  5.00804E-001
  1.40000E-003	  5.50572E-001
  1.60000E-003	  5.75133E-001
  1.80000E-003	  4.98219E-001
  2.00000E-003	  5.32475E-001
  2.20000E-003	  5.02097E-001
  2.40000E-003	  5.11146E-001
  2.60000E-003	  4.26475E-001
  2.80000E-003	  4.65255E-001
  3.00000E-003	  5.06621E-001
  3.20000E-003	  5.09207E-001
  3.60000E-003	  5.11146E-001
  4.00000E-003	  5.22133E-001
  4.40000E-003	  4.83353E-001
  4.80000E-003	  5.83213E-001
  5.20000E-003	  4.85938E-001
  5.60000E-003	  4.88847E-001
  6.00000E-003	  5.31505E-001
  6.40000E-003	  5.12112E-001
  7.20000E-003	  5.08072E-001
  8.00000E-003	  5.28109E-001
  8.80000E-003	  5.03548E-001
  9.60000E-003	  4.93206E-001
  1.04000E-002	  5.05487E-001
  1.12000E-002	  5.26170E-001
  1.20000E-002	  5.24392E-001
  1.28000E-002	  5.08544E-001
  1.44000E-002	  4.76389E-001
  1.60000E-002	  4.91174E-001
  1.76000E-002	  4.71542E-001
  1.92000E-002	  4.61524E-001
  2.08000E-002	  4.72350E-001
  2.24000E-002	  4.71057E-001
  2.40000E-002	  4.64190E-001
  2.56000E-002	  4.56254E-001
  2.88000E-002	  4.72775E-001
  3.20000E-002	  4.61182E-001
  3.52000E-002	  4.44377E-001
  3.84000E-002	  4.30683E-001
  4.16000E-002	  4.14000E-001
  4.48000E-002	  4.19537E-001
  4.80000E-002	  4.21719E-001
  5.12000E-002	  4.26228E-001
  5.76000E-002	  4.00618E-001
  6.40000E-002	  3.95043E-001
  7.04000E-002	  3.82622E-001
  7.68000E-002	  3.80380E-001
  8.32000E-002	  3.61010E-001
  8.96000E-002	  3.47740E-001
  9.60000E-002	  3.45660E-001
  1.02400E-001	  3.35679E-001
  1.15200E-001	  3.28994E-001
  1.28000E-001	  3.02358E-001
  1.40800E-001	  2.87070E-001
  1.53600E-001	  2.72750E-001
  1.66400E-001	  2.56815E-001
  1.79200E-001	  2.45902E-001
  1.92000E-001	  2.37642E-001
  2.04800E-001	  2.22685E-001
  2.30400E-001	  1.95034E-001
  2.56000E-001	  1.77899E-001
  2.81600E-001	  1.59653E-001
  3.07200E-001	  1.45873E-001
  3.32800E-001	  1.33638E-001
  3.58400E-001	  1.18611E-001
  3.84000E-001	  1.09520E-001
  4.09600E-001	  9.85560E-002
  4.60800E-001	  7.89419E-002
  5.12000E-001	  6.37910E-002
  5.63200E-001	  5.11596E-002
  6.14400E-001	  4.21566E-002
  6.65600E-001	  3.49994E-002
  7.16800E-001	  2.94703E-002
  7.68000E-001	  2.77687E-002
  8.19200E-001	  2.08108E-002
  9.21600E-001	  1.39799E-002
  1.02400E+000	  7.79920E-003
  1.12640E+000	  7.62704E-003
  1.22880E+000	  5.81935E-003
  1.33120E+000	  4.46242E-003
  1.43360E+000	  2.56342E-003
  1.53600E+000	  1.07729E-003
  1.63840E+000	  3.58458E-004
